trial,best object,waypoints,RRT min cost,RRT time,trajopt cost,trajopt time,,total time,cost change,,,,
0,2,38,6.647,4.325,6.243,3.448,,7.773,-0.404,,,,
0,3,66,11.455,4.352,10.335,15.167,,19.519,-1.12,,,,
0,3,46,8.164,4.18,7.826,3.998,,8.178,-0.337999999999999,,,,
0,2,35,6.523,4.323,5.991,2.926,,7.249,-0.532,,,,
0,2,36,6.533,3.863,6.023,3.3,,7.163,-0.510000000000001,,,,
0,2,35,6.119,3.949,5.986,3.322,,7.271,-0.133,,,,
0,2,37,6.855,4.011,5.916,3.169,,7.18,-0.939,,,,
0,2,50,8.931,4.064,7.32,4.559,,8.623,-1.611,,,,
0,3,54,9.494,4.003,8.864,9.904,,13.907,-0.629999999999999,,,,
0,2,46,8.263,3.763,6.111,10.943,,14.706,-2.152,,,,
0,2,46,8.249,4.239,6.818,6.946,,11.185,-1.431,,,,
0,2,35,6.343,3.931,6.396,2.609,,6.54,0.053,,,,
0,2,47,8.51,3.873,7.375,5.963,,9.836,-1.135,,,,
0,2,37,6.67,4.036,6.589,3.587,,7.623,-0.081,,,,
0,2,37,6.552,4.121,5.952,6.237,,10.358,-0.6,,,,
0,3,46,8.344,3.966,7.896,4.347,,8.313,-0.448,,,,
0,2,34,5.976,3.774,6.054,3.364,,7.138,0.078,,,,
0,2,47,8.553,3.768,6.543,11.815,,15.583,-2.01,,,,
0,2,35,6.332,3.782,5.872,3.758,,7.54,-0.46,,,,
0,2,48,8.457,3.797,6.332,8.124,,11.921,-2.125,,,,
0,3,46,8.406,4.456,8.034,5.025,,9.481,-0.372,,,,
0,2,34,5.981,4.447,5.996,3.181,,7.628,0.015000000000001,,,,
0,3,47,8.34,3.858,7.892,3.359,,7.217,-0.448,,,,
0,2,34,5.993,3.636,5.962,3.976,,7.612,-0.031000000000001,,,,
0,2,78,13.446,4.04,10.936,19.34,,23.38,-2.51,,,,
0,3,51,9.149,3.76,8.193,6.256,,10.016,-0.956,,,,
0,2,62,11.159,3.981,8.157,12.522,,16.503,-3.002,,,,
0,2,61,10.805,3.779,8.025,9.44,,13.219,-2.78,,,,
0,2,37,6.753,3.946,6.01,3.864,,7.81,-0.743,,,,
0,2,35,6.097,4.218,6.403,2.31,,6.528,0.306,,,,
0,3,46,8.105,3.855,7.951,4.651,,8.506,-0.154,,,,
0,2,48,8.634,3.709,7.788,5.541,,9.25,-0.846,,,,
0,2,36,6.336,3.992,6.57,3.122,,7.114,0.234,,,,
0,2,34,5.903,3.776,6.056,3.205,,6.981,0.153,,,,
0,3,46,8.176,4.361,7.876,3.872,,8.233,-0.3,,,,
0,3,60,10.663,4.213,8.65,15.804,,20.017,-2.013,,,,
